|  题号  |  题解  |  标签  |  难度  | 备注 |
|  [0031](https://leetcode.com/problems/next-permutation)  |  [Next Permutation](leetcode/0001-0099/0031.Next%20Permutation/README_EN.md)  |  `Array`  |  Medium  |    |
|  [0032](https://leetcode.com/problems/longest-valid-parentheses)  |  [Longest Valid Parentheses](leetcode/0001-0099/0032.Longest%20Valid%20Parentheses/README_EN.md)  |  `String`,`Dynamic Programming`  |  Hard  |    |
|  [0033](https://leetcode.com/problems/search-in-rotated-sorted-array)  |  [Search in Rotated Sorted Array](leetcode/0001-0099/0033.Search%20in%20Rotated%20Sorted%20Array/README_EN.md)  |  `Array`,`Binary Search`  |  Medium  |    |
|  [0034](https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array)  |  [Find First and Last Position of Element in Sorted Array](leetcode/0001-0099/0034.Find%20First%20and%20Last%20Position%20of%20Element%20in%20Sorted%20Array/README_EN.md)  |  `Array`,`Binary Search`  |  Medium  |    |
|  [0035](https://leetcode.com/problems/search-insert-position)  |  [Search Insert Position](leetcode/0001-0099/0035.Search%20Insert%20Position/README_EN.md)  |  `Array`,`Binary Search`  |  Easy  |    |
|  [0036](https://leetcode.com/problems/valid-sudoku)  |  [Valid Sudoku](leetcode/0001-0099/0036.Valid%20Sudoku/README_EN.md)  |  `Hash Table`  |  Medium  |    |
|  [0037](https://leetcode.com/problems/sudoku-solver)  |  [Sudoku Solver](leetcode/0001-0099/0037.Sudoku%20Solver/README_EN.md)  |  `Hash Table`,`Backtracking`  |  Hard  |    |
|  [0038](https://leetcode.com/problems/count-and-say)  |  [Count and Say](leetcode/0001-0099/0038.Count%20and%20Say/README_EN.md)  |  `String`  |  Easy  |    |
|  [0039](https://leetcode.com/problems/combination-sum)  |  [Combination Sum](leetcode/0001-0099/0039.Combination%20Sum/README_EN.md)  |  `Array`,`Backtracking`  |  Medium  |    |
|  [0040](https://leetcode.com/problems/combination-sum-ii)  |  [Combination Sum II](leetcode/0001-0099/0040.Combination%20Sum%20II/README_EN.md)  |  `Array`,`Backtracking`  |  Medium  |    |
|  [0041](https://leetcode.com/problems/first-missing-positive)  |  [First Missing Positive](leetcode/0001-0099/0041.First%20Missing%20Positive/README_EN.md)  |  `Array`  |  Hard  |    |
|  [0042](https://leetcode.com/problems/trapping-rain-water)  |  [Trapping Rain Water](leetcode/0001-0099/0042.Trapping%20Rain%20Water/README_EN.md)  |  `Stack`,`Array`,`Two Pointers`  |  Hard  |    |
|  [0043](https://leetcode.com/problems/multiply-strings)  |  [Multiply Strings](leetcode/0001-0099/0043.Multiply%20Strings/README_EN.md)  |  `Math`,`String`  |  Medium  |    |
|  [0044](https://leetcode.com/problems/wildcard-matching)  |  [Wildcard Matching](leetcode/0001-0099/0044.Wildcard%20Matching/README_EN.md)  |  `Greedy`,`String`,`Dynamic Programming`,`Backtracking`  |  Hard  |    |
|  [0045](https://leetcode.com/problems/jump-game-ii)  |  [Jump Game II](leetcode/0001-0099/0045.Jump%20Game%20II/README_EN.md)  |  `Greedy`,`Array`  |  Hard  |    |
|  [0046](https://leetcode.com/problems/permutations)  |  [Permutations](leetcode/0001-0099/0046.Permutations/README_EN.md)  |  `Backtracking`  |  Medium  |    |
|  [0047](https://leetcode.com/problems/permutations-ii)  |  [Permutations II](leetcode/0001-0099/0047.Permutations%20II/README_EN.md)  |  `Backtracking`  |  Medium  |    |
|  [0048](https://leetcode.com/problems/rotate-image)  |  [Rotate Image](leetcode/0001-0099/0048.Rotate%20Image/README_EN.md)  |  `Array`  |  Medium  |    |
|  [0049](https://leetcode.com/problems/group-anagrams)  |  [Group Anagrams](leetcode/0001-0099/0049.Group%20Anagrams/README_EN.md)  |  `Hash Table`,`String`  |  Medium  |    |
|  [0050](https://leetcode.com/problems/powx-n)  |  [Pow(x, n)](leetcode/0001-0099/0050.Pow%28x%2C%20n%29/README_EN.md)  |  `Math`,`Binary Search`  |  Medium  |    |
|  [0051](https://leetcode.com/problems/n-queens)  |  [N-Queens](leetcode/0001-0099/0051.N-Queens/README_EN.md)  |  `Backtracking`  |  Hard  |    |
|  [0052](https://leetcode.com/problems/n-queens-ii)  |  [N-Queens II](leetcode/0001-0099/0052.N-Queens%20II/README_EN.md)  |  `Backtracking`  |  Hard  |    |
|  [0053](https://leetcode.com/problems/maximum-subarray)  |  [Maximum Subarray](leetcode/0001-0099/0053.Maximum%20Subarray/README_EN.md)  |  `Array`,`Divide and Conquer`,`Dynamic Programming`  |  Easy  |    |
|  [0054](https://leetcode.com/problems/spiral-matrix)  |  [Spiral Matrix](leetcode/0001-0099/0054.Spiral%20Matrix/README_EN.md)  |  `Array`  |  Medium  |    |
|  [0055](https://leetcode.com/problems/jump-game)  |  [Jump Game](leetcode/0001-0099/0055.Jump%20Game/README_EN.md)  |  `Greedy`,`Array`  |  Medium  |    |
|  [0056](https://leetcode.com/problems/merge-intervals)  |  [Merge Intervals](leetcode/0001-0099/0056.Merge%20Intervals/README_EN.md)  |  `Sort`,`Array`  |  Medium  |    |
|  [0057](https://leetcode.com/problems/insert-interval)  |  [Insert Interval](leetcode/0001-0099/0057.Insert%20Interval/README_EN.md)  |  `Sort`,`Array`  |  Hard  |    |
|  [0058](https://leetcode.com/problems/length-of-last-word)  |  [Length of Last Word](leetcode/0001-0099/0058.Length%20of%20Last%20Word/README_EN.md)  |  `String`  |  Easy  |    |
|  [0059](https://leetcode.com/problems/spiral-matrix-ii)  |  [Spiral Matrix II](leetcode/0001-0099/0059.Spiral%20Matrix%20II/README_EN.md)  |  `Array`  |  Medium  |    |
|  [0060](https://leetcode.com/problems/permutation-sequence)  |  [Permutation Sequence](leetcode/0001-0099/0060.Permutation%20Sequence/README_EN.md)  |  `Math`,`Backtracking`  |  Hard  |    |
|  [0061](https://leetcode.com/problems/rotate-list)  |  [Rotate List](leetcode/0001-0099/0061.Rotate%20List/README_EN.md)  |  `Linked List`,`Two Pointers`  |  Medium  |    |
|  [0062](https://leetcode.com/problems/unique-paths)  |  [Unique Paths](leetcode/0001-0099/0062.Unique%20Paths/README_EN.md)  |  `Array`,`Dynamic Programming`  |  Medium  |    |
|  [0063](https://leetcode.com/problems/unique-paths-ii)  |  [Unique Paths II](leetcode/0001-0099/0063.Unique%20Paths%20II/README_EN.md)  |  `Array`,`Dynamic Programming`  |  Medium  |    |
|  [0064](https://leetcode.com/problems/minimum-path-sum)  |  [Minimum Path Sum](leetcode/0001-0099/0064.Minimum%20Path%20Sum/README_EN.md)  |  `Array`,`Dynamic Programming`  |  Medium  |    |
|  [0065](https://leetcode.com/problems/valid-number)  |  [Valid Number](leetcode/0001-0099/0065.Valid%20Number/README_EN.md)  |  `Math`,`String`  |  Hard  |    |
|  [0066](https://leetcode.com/problems/plus-one)  |  [Plus One](leetcode/0001-0099/0066.Plus%20One/README_EN.md)  |  `Array`  |  Easy  |    |
|  [0067](https://leetcode.com/problems/add-binary)  |  [Add Binary](leetcode/0001-0099/0067.Add%20Binary/README_EN.md)  |  `Math`,`String`  |  Easy  |    |
|  [0068](https://leetcode.com/problems/text-justification)  |  [Text Justification](leetcode/0001-0099/0068.Text%20Justification/README_EN.md)  |  `String`  |  Hard  |    |
|  [0069](https://leetcode.com/problems/sqrtx)  |  [Sqrt(x)](leetcode/0001-0099/0069.Sqrt%28x%29/README_EN.md)  |  `Math`,`Binary Search`  |  Easy  |    |
|  [0070](https://leetcode.com/problems/climbing-stairs)  |  [Climbing Stairs](leetcode/0001-0099/0070.Climbing%20Stairs/README_EN.md)  |  `Dynamic Programming`  |  Easy  |    |
|  [0071](https://leetcode.com/problems/simplify-path)  |  [Simplify Path](leetcode/0001-0099/0071.Simplify%20Path/README_EN.md)  |  `Stack`,`String`  |  Medium  |    |
|  [0072](https://leetcode.com/problems/edit-distance)  |  [Edit Distance](leetcode/0001-0099/0072.Edit%20Distance/README_EN.md)  |  `String`,`Dynamic Programming`  |  Hard  |    |
|  [0073](https://leetcode.com/problems/set-matrix-zeroes)  |  [Set Matrix Zeroes](leetcode/0001-0099/0073.Set%20Matrix%20Zeroes/README_EN.md)  |  `Array`  |  Medium  |    |
|  [0074](https://leetcode.com/problems/search-a-2d-matrix)  |  [Search a 2D Matrix](leetcode/0001-0099/0074.Search%20a%202D%20Matrix/README_EN.md)  |  `Array`,`Binary Search`  |  Medium  |    |
|  [0075](https://leetcode.com/problems/sort-colors)  |  [Sort Colors](leetcode/0001-0099/0075.Sort%20Colors/README_EN.md)  |  `Sort`,`Array`,`Two Pointers`  |  Medium  |    |
|  [0076](https://leetcode.com/problems/minimum-window-substring)  |  [Minimum Window Substring](leetcode/0001-0099/0076.Minimum%20Window%20Substring/README_EN.md)  |  `Hash Table`,`Two Pointers`,`String`,`Sliding Window`  |  Hard  |    |
|  [0077](https://leetcode.com/problems/combinations)  |  [Combinations](leetcode/0001-0099/0077.Combinations/README_EN.md)  |  `Backtracking`  |  Medium  |    |
|  [0078](https://leetcode.com/problems/subsets)  |  [Subsets](leetcode/0001-0099/0078.Subsets/README_EN.md)  |  `Bit Manipulation`,`Array`,`Backtracking`  |  Medium  |    |
|  [0079](https://leetcode.com/problems/word-search)  |  [Word Search](leetcode/0001-0099/0079.Word%20Search/README_EN.md)  |  `Array`,`Backtracking`  |  Medium  |    |
|  [0080](https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii)  |  [Remove Duplicates from Sorted Array II](leetcode/0001-0099/0080.Remove%20Duplicates%20from%20Sorted%20Array%20II/README_EN.md)  |  `Array`,`Two Pointers`  |  Medium  |    |
|  [0081](https://leetcode.com/problems/search-in-rotated-sorted-array-ii)  |  [Search in Rotated Sorted Array II](leetcode/0001-0099/0081.Search%20in%20Rotated%20Sorted%20Array%20II/README_EN.md)  |  `Array`,`Binary Search`  |  Medium  |    |
|  [0082](https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii)  |  [Remove Duplicates from Sorted List II](leetcode/0001-0099/0082.Remove%20Duplicates%20from%20Sorted%20List%20II/README_EN.md)  |  `Linked List`  |  Medium  |    |
|  [0083](https://leetcode.com/problems/remove-duplicates-from-sorted-list)  |  [Remove Duplicates from Sorted List](leetcode/0001-0099/0083.Remove%20Duplicates%20from%20Sorted%20List/README_EN.md)  |  `Linked List`  |  Easy  |    |
|  [0084](https://leetcode.com/problems/largest-rectangle-in-histogram)  |  [Largest Rectangle in Histogram](leetcode/0001-0099/0084.Largest%20Rectangle%20in%20Histogram/README_EN.md)  |  `Stack`,`Array`  |  Hard  |    |
|  [0085](https://leetcode.com/problems/maximal-rectangle)  |  [Maximal Rectangle](leetcode/0001-0099/0085.Maximal%20Rectangle/README_EN.md)  |  `Stack`,`Array`,`Hash Table`,`Dynamic Programming`  |  Hard  |    |
|  [0086](https://leetcode.com/problems/partition-list)  |  [Partition List](leetcode/0001-0099/0086.Partition%20List/README_EN.md)  |  `Linked List`,`Two Pointers`  |  Medium  |    |
|  [0087](https://leetcode.com/problems/scramble-string)  |  [Scramble String](leetcode/0001-0099/0087.Scramble%20String/README_EN.md)  |  `String`,`Dynamic Programming`  |  Hard  |    |
|  [0088](https://leetcode.com/problems/merge-sorted-array)  |  [Merge Sorted Array](leetcode/0001-0099/0088.Merge%20Sorted%20Array/README_EN.md)  |  `Array`,`Two Pointers`  |  Easy  |    |
|  [0089](https://leetcode.com/problems/gray-code)  |  [Gray Code](leetcode/0001-0099/0089.Gray%20Code/README_EN.md)  |  `Backtracking`  |  Medium  |    |
|  [0090](https://leetcode.com/problems/subsets-ii)  |  [Subsets II](leetcode/0001-0099/0090.Subsets%20II/README_EN.md)  |  `Array`,`Backtracking`  |  Medium  |    |
|  [0091](https://leetcode.com/problems/decode-ways)  |  [Decode Ways](leetcode/0001-0099/0091.Decode%20Ways/README_EN.md)  |  `String`,`Dynamic Programming`  |  Medium  |    |
|  [0092](https://leetcode.com/problems/reverse-linked-list-ii)  |  [Reverse Linked List II](leetcode/0001-0099/0092.Reverse%20Linked%20List%20II/README_EN.md)  |  `Linked List`  |  Medium  |    |
|  [0093](https://leetcode.com/problems/restore-ip-addresses)  |  [Restore IP Addresses](leetcode/0001-0099/0093.Restore%20IP%20Addresses/README_EN.md)  |  `String`,`Backtracking`  |  Medium  |    |
|  [0094](https://leetcode.com/problems/binary-tree-inorder-traversal)  |  [Binary Tree Inorder Traversal](leetcode/0001-0099/0094.Binary%20Tree%20Inorder%20Traversal/README_EN.md)  |  `Stack`,`Tree`,`Hash Table`  |  Medium  |    |
|  [0095](https://leetcode.com/problems/unique-binary-search-trees-ii)  |  [Unique Binary Search Trees II](leetcode/0001-0099/0095.Unique%20Binary%20Search%20Trees%20II/README_EN.md)  |  `Tree`,`Dynamic Programming`  |  Medium  |    |
|  [0096](https://leetcode.com/problems/unique-binary-search-trees)  |  [Unique Binary Search Trees](leetcode/0001-0099/0096.Unique%20Binary%20Search%20Trees/README_EN.md)  |  `Tree`,`Dynamic Programming`  |  Medium  |    |
|  [0097](https://leetcode.com/problems/interleaving-string)  |  [Interleaving String](leetcode/0001-0099/0097.Interleaving%20String/README_EN.md)  |  `String`,`Dynamic Programming`  |  Hard  |    |
|  [0098](https://leetcode.com/problems/validate-binary-search-tree)  |  [Validate Binary Search Tree](leetcode/0001-0099/0098.Validate%20Binary%20Search%20Tree/README_EN.md)  |  `Tree`,`Depth-first Search`,`Recursion`  |  Medium  |    |
|  [0099](https://leetcode.com/problems/recover-binary-search-tree)  |  [Recover Binary Search Tree](leetcode/0001-0099/0099.Recover%20Binary%20Search%20Tree/README_EN.md)  |  `Tree`,`Depth-first Search`  |  Hard  |    |
|  [0100](https://leetcode.com/problems/same-tree)  |  [Same Tree](leetcode/0100-0199/0100.Same%20Tree/README_EN.md)  |  `Tree`,`Depth-first Search`  |  Easy  |    |
|  [0101](https://leetcode.com/problems/symmetric-tree)  |  [Symmetric Tree](leetcode/0100-0199/0101.Symmetric%20Tree/README_EN.md)  |  `Tree`,`Depth-first Search`,`Breadth-first Search`  |  Easy  |    |
|  [0102](https://leetcode.com/problems/binary-tree-level-order-traversal)  |  [Binary Tree Level Order Traversal](leetcode/0100-0199/0102.Binary%20Tree%20Level%20Order%20Traversal/README_EN.md)  |  `Tree`,`Breadth-first Search`  |  Medium  |    |
|  [0103](https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal)  |  [Binary Tree Zigzag Level Order Traversal](leetcode/0100-0199/0103.Binary%20Tree%20Zigzag%20Level%20Order%20Traversal/README_EN.md)  |  `Stack`,`Tree`,`Breadth-first Search`  |  Medium  |    |
|  [0104](https://leetcode.com/problems/maximum-depth-of-binary-tree)  |  [Maximum Depth of Binary Tree](leetcode/0100-0199/0104.Maximum%20Depth%20of%20Binary%20Tree/README_EN.md)  |  `Tree`,`Depth-first Search`,`Recursion`  |  Easy  |    |
|  [0105](https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal)  |  [Construct Binary Tree from Preorder and Inorder Traversal](leetcode/0100-0199/0105.Construct%20Binary%20Tree%20from%20Preorder%20and%20Inorder%20Traversal/README_EN.md)  |  `Tree`,`Depth-first Search`,`Array`  |  Medium  |    |
|  [0106](https://leetcode.com/problems/construct-binary-tree-from-inorder-and-postorder-traversal)  |  [Construct Binary Tree from Inorder and Postorder Traversal](leetcode/0100-0199/0106.Construct%20Binary%20Tree%20from%20Inorder%20and%20Postorder%20Traversal/README_EN.md)  |  `Tree`,`Depth-first Search`,`Array`  |  Medium  |    |
|  [0107](https://leetcode.com/problems/binary-tree-level-order-traversal-ii)  |  [Binary Tree Level Order Traversal II](leetcode/0100-0199/0107.Binary%20Tree%20Level%20Order%20Traversal%20II/README_EN.md)  |  `Tree`,`Breadth-first Search`  |  Easy  |    |
|  [0108](https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree)  |  [Convert Sorted Array to Binary Search Tree](leetcode/0100-0199/0108.Convert%20Sorted%20Array%20to%20Binary%20Search%20Tree/README_EN.md)  |  `Tree`,`Depth-first Search`  |  Easy  |    |
|  [0109](https://leetcode.com/problems/convert-sorted-list-to-binary-search-tree)  |  [Convert Sorted List to Binary Search Tree](leetcode/0100-0199/0109.Convert%20Sorted%20List%20to%20Binary%20Search%20Tree/README_EN.md)  |  `Depth-first Search`,`Linked List`  |  Medium  |    |
|  [0110](https://leetcode.com/problems/balanced-binary-tree)  |  [Balanced Binary Tree](leetcode/0100-0199/0110.Balanced%20Binary%20Tree/README_EN.md)  |  `Tree`,`Depth-first Search`,`Recursion`  |  Easy  |    |
|  [0111](https://leetcode.com/problems/minimum-depth-of-binary-tree)  |  [Minimum Depth of Binary Tree](leetcode/0100-0199/0111.Minimum%20Depth%20of%20Binary%20Tree/README_EN.md)  |  `Tree`,`Depth-first Search`,`Breadth-first Search`  |  Easy  |    |
|  [0112](https://leetcode.com/problems/path-sum)  |  [Path Sum](leetcode/0100-0199/0112.Path%20Sum/README_EN.md)  |  `Tree`,`Depth-first Search`  |  Easy  |    |
|  [0113](https://leetcode.com/problems/path-sum-ii)  |  [Path Sum II](leetcode/0100-0199/0113.Path%20Sum%20II/README_EN.md)  |  `Tree`,`Depth-first Search`  |  Medium  |    |
|  [0114](https://leetcode.com/problems/flatten-binary-tree-to-linked-list)  |  [Flatten Binary Tree to Linked List](leetcode/0100-0199/0114.Flatten%20Binary%20Tree%20to%20Linked%20List/README_EN.md)  |  `Tree`,`Depth-first Search`  |  Medium  |    |
|  [0115](https://leetcode.com/problems/distinct-subsequences)  |  [Distinct Subsequences](leetcode/0100-0199/0115.Distinct%20Subsequences/README_EN.md)  |  `String`,`Dynamic Programming`  |  Hard  |    |
|  [0116](https://leetcode.com/problems/populating-next-right-pointers-in-each-node)  |  [Populating Next Right Pointers in Each Node](leetcode/0100-0199/0116.Populating%20Next%20Right%20Pointers%20in%20Each%20Node/README_EN.md)  |  `Tree`,`Depth-first Search`,`Breadth-first Search`  |  Medium  |    |
|  [0117](https://leetcode.com/problems/populating-next-right-pointers-in-each-node-ii)  |  [Populating Next Right Pointers in Each Node II](leetcode/0100-0199/0117.Populating%20Next%20Right%20Pointers%20in%20Each%20Node%20II/README_EN.md)  |  `Tree`,`Depth-first Search`  |  Medium  |    |
|  [0118](https://leetcode.com/problems/pascals-triangle)  |  [Pascal's Triangle](leetcode/0100-0199/0118.Pascal%27s%20Triangle/README_EN.md)  |  `Array`  |  Easy  |    |
|  [0119](https://leetcode.com/problems/pascals-triangle-ii)  |  [Pascal's Triangle II](leetcode/0100-0199/0119.Pascal%27s%20Triangle%20II/README_EN.md)  |  `Array`  |  Easy  |    |
|  [0120](https://leetcode.com/problems/triangle)  |  [Triangle](leetcode/0100-0199/0120.Triangle/README_EN.md)  |  `Array`,`Dynamic Programming`  |  Medium  |    |
|  [0121](https://leetcode.com/problems/best-time-to-buy-and-sell-stock)  |  [Best Time to Buy and Sell Stock](leetcode/0100-0199/0121.Best%20Time%20to%20Buy%20and%20Sell%20Stock/README_EN.md)  |  `Array`,`Dynamic Programming`  |  Easy  |    |
|  [0122](https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii)  |  [Best Time to Buy and Sell Stock II](leetcode/0100-0199/0122.Best%20Time%20to%20Buy%20and%20Sell%20Stock%20II/README_EN.md)  |  `Greedy`,`Array`  |  Easy  |    |
|  [0123](https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii)  |  [Best Time to Buy and Sell Stock III](leetcode/0100-0199/0123.Best%20Time%20to%20Buy%20and%20Sell%20Stock%20III/README_EN.md)  |  `Array`,`Dynamic Programming`  |  Hard  |    |
|  [0124](https://leetcode.com/problems/binary-tree-maximum-path-sum)  |  [Binary Tree Maximum Path Sum](leetcode/0100-0199/0124.Binary%20Tree%20Maximum%20Path%20Sum/README_EN.md)  |  `Tree`,`Depth-first Search`,`Recursion`  |  Hard  |    |
|  [0125](https://leetcode.com/problems/valid-palindrome)  |  [Valid Palindrome](leetcode/0100-0199/0125.Valid%20Palindrome/README_EN.md)  |  `Two Pointers`,`String`  |  Easy  |    |
|  [0126](https://leetcode.com/problems/word-ladder-ii)  |  [Word Ladder II](leetcode/0100-0199/0126.Word%20Ladder%20II/README_EN.md)  |  `Breadth-first Search`,`Array`,`String`,`Backtracking`  |  Hard  |    |
|  [0127](https://leetcode.com/problems/word-ladder)  |  [Word Ladder](leetcode/0100-0199/0127.Word%20Ladder/README_EN.md)  |  `Breadth-first Search`  |  Medium  |    |
|  [0128](https://leetcode.com/problems/longest-consecutive-sequence)  |  [Longest Consecutive Sequence](leetcode/0100-0199/0128.Longest%20Consecutive%20Sequence/README_EN.md)  |  `Union Find`,`Array`  |  Hard  |    |
|  [0129](https://leetcode.com/problems/sum-root-to-leaf-numbers)  |  [Sum Root to Leaf Numbers](leetcode/0100-0199/0129.Sum%20Root%20to%20Leaf%20Numbers/README_EN.md)  |  `Tree`,`Depth-first Search`  |  Medium  |    |
|  [0130](https://leetcode.com/problems/surrounded-regions)  |  [Surrounded Regions](leetcode/0100-0199/0130.Surrounded%20Regions/README_EN.md)  |  `Depth-first Search`,`Breadth-first Search`,`Union Find`  |  Medium  |    |
|  [0131](https://leetcode.com/problems/palindrome-partitioning)  |  [Palindrome Partitioning](leetcode/0100-0199/0131.Palindrome%20Partitioning/README_EN.md)  |  `Depth-first Search`,`Dynamic Programming`,`Backtracking`  |  Medium  |    |
|  [0132](https://leetcode.com/problems/palindrome-partitioning-ii)  |  [Palindrome Partitioning II](leetcode/0100-0199/0132.Palindrome%20Partitioning%20II/README_EN.md)  |  `Dynamic Programming`  |  Hard  |    |
|  [0133](https://leetcode.com/problems/clone-graph)  |  [Clone Graph](leetcode/0100-0199/0133.Clone%20Graph/README_EN.md)  |  `Depth-first Search`,`Breadth-first Search`,`Graph`  |  Medium  |    |
|  [0134](https://leetcode.com/problems/gas-station)  |  [Gas Station](leetcode/0100-0199/0134.Gas%20Station/README_EN.md)  |  `Greedy`  |  Medium  |    |
|  [0135](https://leetcode.com/problems/candy)  |  [Candy](leetcode/0100-0199/0135.Candy/README_EN.md)  |  `Greedy`  |  Hard  |    |
|  [0136](https://leetcode.com/problems/single-number)  |  [Single Number](leetcode/0100-0199/0136.Single%20Number/README_EN.md)  |  `Bit Manipulation`,`Hash Table`  |  Easy  |    |
|  [0137](https://leetcode.com/problems/single-number-ii)  |  [Single Number II](leetcode/0100-0199/0137.Single%20Number%20II/README_EN.md)  |  `Bit Manipulation`  |  Medium  |    |
|  [0138](https://leetcode.com/problems/copy-list-with-random-pointer)  |  [Copy List with Random Pointer](leetcode/0100-0199/0138.Copy%20List%20with%20Random%20Pointer/README_EN.md)  |  `Hash Table`,`Linked List`  |  Medium  |    |
|  [0139](https://leetcode.com/problems/word-break)  |  [Word Break](leetcode/0100-0199/0139.Word%20Break/README_EN.md)  |  `Dynamic Programming`  |  Medium  |    |
|  [0140](https://leetcode.com/problems/word-break-ii)  |  [Word Break II](leetcode/0100-0199/0140.Word%20Break%20II/README_EN.md)  |  `Dynamic Programming`,`Backtracking`  |  Hard  |    |
|  [0141](https://leetcode.com/problems/linked-list-cycle)  |  [Linked List Cycle](leetcode/0100-0199/0141.Linked%20List%20Cycle/README_EN.md)  |  `Linked List`,`Two Pointers`  |  Easy  |    |
|  [0142](https://leetcode.com/problems/linked-list-cycle-ii)  |  [Linked List Cycle II](leetcode/0100-0199/0142.Linked%20List%20Cycle%20II/README_EN.md)  |  `Linked List`,`Two Pointers`  |  Medium  |    |
|  [0143](https://leetcode.com/problems/reorder-list)  |  [Reorder List](leetcode/0100-0199/0143.Reorder%20List/README_EN.md)  |  `Linked List`  |  Medium  |    |
|  [0144](https://leetcode.com/problems/binary-tree-preorder-traversal)  |  [Binary Tree Preorder Traversal](leetcode/0100-0199/0144.Binary%20Tree%20Preorder%20Traversal/README_EN.md)  |  `Stack`,`Tree`  |  Medium  |    |
|  [0145](https://leetcode.com/problems/binary-tree-postorder-traversal)  |  [Binary Tree Postorder Traversal](leetcode/0100-0199/0145.Binary%20Tree%20Postorder%20Traversal/README_EN.md)  |  `Stack`,`Tree`  |  Medium  |    |
|  [0146](https://leetcode.com/problems/lru-cache)  |  [LRU Cache](leetcode/0100-0199/0146.LRU%20Cache/README_EN.md)  |  `Design`  |  Medium  |    |
|  [0147](https://leetcode.com/problems/insertion-sort-list)  |  [Insertion Sort List](leetcode/0100-0199/0147.Insertion%20Sort%20List/README_EN.md)  |  `Sort`,`Linked List`  |  Medium  |    |
|  [0148](https://leetcode.com/problems/sort-list)  |  [Sort List](leetcode/0100-0199/0148.Sort%20List/README_EN.md)  |  `Sort`,`Linked List`  |  Medium  |    |
|  [0149](https://leetcode.com/problems/max-points-on-a-line)  |  [Max Points on a Line](leetcode/0100-0199/0149.Max%20Points%20on%20a%20Line/README_EN.md)  |  `Hash Table`,`Math`  |  Hard  |    |
|  [0150](https://leetcode.com/problems/evaluate-reverse-polish-notation)  |  [Evaluate Reverse Polish Notation](leetcode/0100-0199/0150.Evaluate%20Reverse%20Polish%20Notation/README_EN.md)  |  `Stack`  |  Medium  |    |
|  [0151](https://leetcode.com/problems/reverse-words-in-a-string)  |  [Reverse Words in a String](leetcode/0100-0199/0151.Reverse%20Words%20in%20a%20String/README_EN.md)  |  `String`  |  Medium  |    |
|  [0152](https://leetcode.com/problems/maximum-product-subarray)  |  [Maximum Product Subarray](leetcode/0100-0199/0152.Maximum%20Product%20Subarray/README_EN.md)  |  `Array`,`Dynamic Programming`  |  Medium  |    |
|  [0153](https://leetcode.com/problems/find-minimum-in-rotated-sorted-array)  |  [Find Minimum in Rotated Sorted Array](leetcode/0100-0199/0153.Find%20Minimum%20in%20Rotated%20Sorted%20Array/README_EN.md)  |  `Array`,`Binary Search`  |  Medium  |    |
|  [0154](https://leetcode.com/problems/find-minimum-in-rotated-sorted-array-ii)  |  [Find Minimum in Rotated Sorted Array II](leetcode/0100-0199/0154.Find%20Minimum%20in%20Rotated%20Sorted%20Array%20II/README_EN.md)  |  `Array`,`Binary Search`  |  Hard  |    |
|  [0155](https://leetcode.com/problems/min-stack)  |  [Min Stack](leetcode/0100-0199/0155.Min%20Stack/README_EN.md)  |  `Stack`,`Design`  |  Easy  |    |
|  [0156](https://leetcode.com/problems/binary-tree-upside-down)  |  [Binary Tree Upside Down](leetcode/0100-0199/0156.Binary%20Tree%20Upside%20Down/README_EN.md)  |  `Tree`  |  Medium  |  🔒  |
|  [0157](https://leetcode.com/problems/read-n-characters-given-read4)  |  [Read N Characters Given Read4](leetcode/0100-0199/0157.Read%20N%20Characters%20Given%20Read4/README_EN.md)  |  `String`  |  Easy  |  🔒  |
|  [0158](https://leetcode.com/problems/read-n-characters-given-read4-ii-call-multiple-times)  |  [Read N Characters Given Read4 II - Call multiple times](leetcode/0100-0199/0158.Read%20N%20Characters%20Given%20Read4%20II%20-%20Call%20multiple%20times/README_EN.md)  |  `String`  |  Hard  |  🔒  |
|  [0159](https://leetcode.com/problems/longest-substring-with-at-most-two-distinct-characters)  |  [Longest Substring with At Most Two Distinct Characters](leetcode/0100-0199/0159.Longest%20Substring%20with%20At%20Most%20Two%20Distinct%20Characters/README_EN.md)  |  `Hash Table`,`Two Pointers`,`String`,`Sliding Window`  |  Medium  |  🔒  |
|  [0160](https://leetcode.com/problems/intersection-of-two-linked-lists)  |  [Intersection of Two Linked Lists](leetcode/0100-0199/0160.Intersection%20of%20Two%20Linked%20Lists/README_EN.md)  |  `Linked List`  |  Easy  |    |
|  [0161](https://leetcode.com/problems/one-edit-distance)  |  [One Edit Distance](leetcode/0100-0199/0161.One%20Edit%20Distance/README_EN.md)  |  `String`  |  Medium  |  🔒  |
|  [0162](https://leetcode.com/problems/find-peak-element)  |  [Find Peak Element](leetcode/0100-0199/0162.Find%20Peak%20Element/README_EN.md)  |  `Array`,`Binary Search`  |  Medium  |    |
